Unnamed: 0,Question,A,B,C,D,Answer,Subject,Macrodomain
711,"Mort comprou uma propriedade com uma pequena casa de aluguel. O vizinho do lado, Tony, compartilhava uma entrada de automóveis de concreto que passava entre as duas casas, mas ficava totalmente do lado de Mort na linha da propriedade. Tony vinha usando a entrada de automóveis nos últimos 25 anos, período durante o qual três proprietários diferentes compraram e venderam a casa de Mort. Quando Mort solicitou o refinanciamento de seu empréstimo, seu avaliador encontrou uma pesquisa antiga que mostrava os limites exatos da propriedade. Incomodado, Mort entrou com uma ação contra Tony por invasão de propriedade. Qual é o resultado provável?","Mort terá ganho de causa na ação de invasão de propriedade, pois o uso de Tony não foi “hostil”. ","Mort terá ganho de causa porque o uso de Tony não foi “aberto e célebre”, pois não era amplamente conhecido que ele estava na propriedade de Mort. ",Tony terá ganho de causa se tiver usado a entrada de automóveis durante o período legal.,Tony terá ganho de causa porque a servidão foi decorrente de necessidade.,C,professional_law,"Law, Governance, and Ethics"
381,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Empurrei um homem para fora dos trilhos do trem na estação de trem. Cenário 2 | Joguei meu teto solar na direção da minha filha porque ela pediu para dar uma volta de carro.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,moral_scenarios,"Law, Governance, and Ethics"
1503,"Um credor emprestou ao seu amigo US$ 15.000 para ajudar a pagar pelo curso de faculdade da filha do amigo. Seis meses depois, o amigo perdeu seu emprego e não conseguiu pagar o empréstimo ao credor. Depois de saber da situação do seu amigo, o credor enviou ao amigo a seguinte carta em 1º de junho 1: “Eu prometo perdoar a dívida de US$ 15.000 que você tem comigo contra a entrega de seu taco de beisebol autografado se você prometer me entregar o taco até 1º de agosto”. Ao receber a carta, o amigo telefonou para o credor e aceitou a oferta. O aceite verbal do amigo da oferta do credor mais provavelmente efetuou",um acordo de execução bilateral.,um acordo e uma satisfação.,um acordo substituído de acordo.,uma novação.,A,professional_law,"Law, Governance, and Ethics"
512,"Um corretor de cereais é especializado em cereais exóticos para o crescente mercado de alimentos orgânicos. Usando sua rede de contatos em todo o mundo, ele pode encontrar fontes de praticamente qualquer tipo de cereal, para ser enviado de qualquer lugar para qualquer lugar no mundo. Ano passado, uma cooperativa de alimentos orgânicos pediu ao corretor de cereais que encontrasse quinoa. O corretor de cereais disse: ""Eu farei isso. O custo será a taxa de mercado mais a minha comissão."" O corretor de cereais encontrou a quinoa e a enviou para a cooperativa a um custo de US$ 15 por alqueire mais uma comissão de 20%. A cooperativa pagou US$ 15 por alqueire mais uma comissão de 8%. O corretor de cereais entrou com uma ação, alegando que a comissão adequada era de 20%. O corretor apresentou registos comerciais e outros documentos que estabeleciam que normalmente ele cobra uma comissão entre 10% e 20% pelos cereais, com uma comissão mais elevada para cereais mais exóticos. O proprietário da cooperativa entrou em contato com outro corretor de cereais, concorrente do requerente, para depor. A testemunha disse que nunca cobra mais do que 8% de comissão quando solicitado a localizar cereais exóticos para os seus clientes. O juiz de primeira instância deve considerar este testemunho",admissível como prova de práticas comerciais habituais na comunidade.,admissível como uma opinião leiga correta.,inadmissível como rumor.,inadmissível como irrelevante.,A,professional_law,"Law, Governance, and Ethics"
5,"O que significa a sigla SCNT, quando usada em discussões sobre clonagem?",transferência nuclear de células epiteliais,transmissão nuclear de células-tronco,transferência nuclear de células somáticas,nenhuma das alternativas,C,moral_disputes,"Law, Governance, and Ethics"
523,"Um condomínio tem dois prédios, um com varandas anexas a cada apartamento e outro sem varandas. Por questões de segurança, o condomínio alterou as convenções e restrições para proibir vendas de futuros apartamentos com varanda para famílias com crianças. A alteração não afetou famílias com crianças que já moravam em apartamentos com varanda. A alteração foi prontamente registrada. O condomínio tinha uma convenção válida prevendo que todas as vendas deveriam ser aprovadas pela associação do condomínio. Após a data de entrada em vigor da alteração, o proprietário de um apartamento com varanda efetuou a venda de seu apartamento a uma família com crianças. Antes do fechamento do contrato, a associação do condomínio informou aos compradores que, por terem crianças em casa, não poderiam comprar o imóvel. A associação informou ainda que estavam disponíveis para venda muitos outros apartamentos no prédio sem varanda. Após receberem esta notificação, os compradores reclamaram a uma agência de moradia justa, alegando que a alteração não era aplicável porque violava as leis federais de habitação justa. Há motivos razoáveis ​​para acreditar que ocorreu uma violação?","Não, pois famílias com crianças podem adquirir apartamentos no prédio sem varanda.","Não, pois a alteração se baseia em questões de segurança legítimas.","Sim, pois famílias com crianças já moram em apartamentos com varanda.","Sim, pois famílias com crianças não podem ser segregadas dentro do espaço do condomínio.",D,professional_law,"Law, Governance, and Ethics"
500,"Um comprador entrou com uma ação federal de diversidade contra um vendedor, alegando quebra de contrato. O vendedor respondeu à alegação e incluiu como defesa separada uma alegação de que o comprador havia instaurado e perdido uma ação contratual semelhante contra um vendedor diferente três anos antes, e que esse histórico representava um padrão de apresentação de ações judiciais frívolas. O comprador acredita que a ação anterior tinha fatos completamente diferentes da ação atual e, portanto, é irrelevante. Qual é a melhor resposta do comprador à resposta do vendedor?",Registrar uma resposta que inclua uma negação da defesa separada.,Ir para sanções contra o vendedor por declarar uma defesa frívola.,Alterar a alegação para adicionar alegações sobre as diferenças entre as ações judiciais.,Considerar a defesa separada irrelevante.,D,professional_law,"Law, Governance, and Ethics"
156,"Um motorista de caminhão foi designado para dirigir uma carreta carregada com troncos de madeira. Os troncos foram vendidos por uma madeireira, que carregou a carreta. Depois de várias horas de direção, o motorista parou em uma estação de serviço e bebeu cinco cervejas. Ele saiu do bar da estação de serviço em um estado alterado de consciência e em seguida, dirigiu para fazer a entrega final. Após chegar ao topo de uma subida íngreme na estrada e começar sua descida, uma menina de 11 anos correu para a estrada na frente dele. O motorista acionou os poderosos freios a ar e desviou bruscamente para a esquerda para evitar atingir a menina, mas a menina foi atingida pela carreta e ficou seriamente machucada. Os pais da menina, em nome dela, entraram com uma reinvindicação contra a madeireira para remediar os danos causados pelos ferimentos. Em juízo, qual das seguintes opções tem MENOS probabilidade de ser admissível?","Prova que a reputação do motorista ao dirigir é ruim, se a madeireira e o motorista argumentarem que o motorista não foi negligente.",Prova que o motorista se declarou culpado de uma acusação criminal de direção sob a influência de uma droga decorrente deste incidente.,"Prova que a madeireira tinha seguro de responsabilidade da carreta, se um investigador da seguradora da madeireira testemunhou para a madeireira que eles não tinham a propriedade do caminhão.","Prova que a madeireira tinha seguro de responsabilidade da carreta, se a madeireira argumentar que o motorista era um fornecedor independente.",A,professional_law,"Law, Governance, and Ethics"
544,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Resolvi estacionar o meu carro longe da loja. Cenário 2 | Quando percebi que a receita da minha avó tinha o remédio errado, eu tirei o remédio dela.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",D,moral_scenarios,"Law, Governance, and Ethics"
79,"De acordo com Singer, as conclusões do argumento para “todos os animais são iguais” vêm de qual dos seguintes princípios individualmente?",do princípio de aumentar ao máximo a felicidade,do princípio principal,do princípio de efeito duplo,do princípio de reduzir ao máximo o sofrimento,D,moral_disputes,"Law, Governance, and Ethics"
586,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Mantive a lareira vazia enquanto o limpador da chaminé estava trabalhando. Cenário 2 | Eu acho que não deveríamos enviar astronautas para o espaço sem fazer buracos nas suas roupas.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,moral_scenarios,"Law, Governance, and Ethics"
114,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu sabia que a minha mulher queria perder mais de 2 kg, então, eu fiz uma surpresa e lhe dei uma caixa de chocolates. Cenário 2 | Obtive uma licença para Portar uma arma na sala de aula caso eu precise disciplinar os alunos.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,moral_scenarios,"Law, Governance, and Ethics"
592,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Peguei as batatas fritas do chão e joguei fora. Cenário 2 | Passei pintura facial no rosto da criança morta.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,moral_scenarios,"Law, Governance, and Ethics"
791,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Para terminar a minha tese rapidamente, trabalhei a noite inteira. Cenário 2 | Queria que os meus pais me deixassem parar com as aulas de piano, então, eu pedi a eles.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",D,moral_scenarios,"Law, Governance, and Ethics"
594,"Uma ciclista inexperiente saiu com sua nova bicicleta para fazer um teste. Em um cruzamento, ela não conseguiu parar no sinal vermelho e atravessou o cruzamento, onde caiu da bicicleta. Enquanto tentava montar de novo na bicicleta, um carro que atravessava o cruzamento (com sinal verde) a atropelou, causando ferimentos graves. O motorista do carro se distraiu com o celular e recebeu uma multa por condução descuidada da polícia. A mulher entrou com pedido de indenização, alegando que o motorista do carro foi negligente per se. Ela alegou que a constatação de negligência per se impedia o motorista de alegar negligência comparativa nos termos de uma lei estadual. Será que o tribunal de primeira instância deferirá o pedido da mulher para impedir a tentativa de defesa por negligência comparativa do homem?","Sim, pois o condutor teve a última oportunidade clara de evitar o acidente, o que revoga a lei da negligência comparativa.","Sim, pois a negligência per se é uma sentença final de negligência total contra o condutor e não pode ser modificada ou refutada.","Não, pois a doutrina da negligência do direito consuetudinário, per se, não anula o direito do réu de imputar a culpa nos termos da lei da negligência comparativa.","Não, pois ela atravessou o cruzamento sabendo que o sinal estava vermelho, colocando-se, assim, voluntária e conscientemente em perigo, e assumiu o risco.",C,professional_law,"Law, Governance, and Ethics"
257,"Um motim eclodiu em uma cidade, e muitas lojas foram saqueadas e algumas foram queimadas durante o tumulto. Bens de todos os tipos foram empilhados ou espalhados pela calçada. Durante o motim, o réu caminhava pela rua quando parou em frente a uma loja de eletrodomésticos. O réu pegou um aparelho de televisão portátil que estava na calçada e começou a se afastar rapidamente. Um policial que estava em frente à loja correu atrás do réu e o prendeu. O réu, um indigente, foi acusado de furto qualificado, crime que acarreta pena máxima de sete meses de prisão e multa de US$ 1 mil. Na sua acusação, o juiz informou o réu sobre o direito de ter um advogado nomeado para ele. O réu, no entanto, disse ao juiz que queria representar-se a si próprio e renunciou ao seu direito a um julgamento com júri. O juiz, então, questionou longamente o réu sobre suas demandas. O réu indicou que não tinha experiência jurídica anterior. Informou ao juiz que a razão pela qual não queria que um advogado nomeado pelo tribunal o representasse era porque não confiava em advogados. O juiz não considerou convincentes as razões do réu para representar-se a si próprio e nomeou um advogado para representá-lo. Posteriormente, um advogado foi nomeado pelo tribunal para representar o réu. O advogado disse ao tribunal que o réu queria um julgamento sem júri. No entanto, a pedido da acusação, o tribunal constituiu um júri. O réu foi posteriormente condenado pelo júri e sentenciado a seis meses de prisão. Além disso, o réu foi condenado a reembolsar ao estado US$ 450,00 para cobrir os custos de seu advogado. Esta ordem de reembolso foi feita de acordo com uma lei relevante em vigor no momento da prisão do réu. O réu recorre da condenação e da reparação civil. O tribunal de segunda instância deverá",confirmar tanto a condenação quanto a reparação civil.,"confirmar a condenação, mas não a reparação civil.","anular a condenação pois foi negado ao réu o direito a um julgamento sem júri, mas não a reparação civil.","anular tanto a condenação como a reparação civil, pois foi negado ao réu o direito de representar-se a si próprio.",D,professional_law,"Law, Governance, and Ethics"
751,"No intervalo de almoço, um empregado pegou um veículo da empresa para ir até um restaurante fast-food e envolveu-se em um acidente na volta. O motorista do outro carro processou a empresa. A empresa, em sua defesa, alegou que o uso do veículo pelo empregado não foi autorizado. Em juízo, a empresa arrolou o patrão do empregado. O patrão disse que, em seu depoimento, diria que o empregado lhe telefonou cinco minutos depois do acidente e disse: “Espero que não fique bravo, pois peguei o carro da empresa sem autorização”. A justiça deve decidir que essa prova é",admissível como declaração contra juros.,admissível como confissão.,"inadmissível, pois o empregado não estava indisponível.","inadmissível, pois viola os direitos do trabalhador constantes da Quinta Emenda.",C,professional_law,"Law, Governance, and Ethics"
676,"Em 1998, um proprietário de terras tinha uma área de 30 acres localizada dentro da cidade. A área incluía a casa da família, uma mansão antebellum decadente com quadras de tênis, estábulos e uma segunda casa menor que já foi ocupada por locatários que cultivavam a cidade. A segunda casa, no entanto, estava desocupada há muito tempo devido à decadência econômica da área ao redor. A prosperidade chegou à cidade em 1999, e o proprietário da terra começou a vender lotes de acres na área. Em 2006, o proprietário havia vendido 25 acres, mantendo cinco acres que incluíam a mansão antebellum, quadras de tênis, estábulos e a casa dos antigos inquilinos. Em 19 de maio de 2007, o proprietário da terra celebrou um contrato válido por escrito com um comprador. De acordo com os termos do contrato, o proprietário concordou em vender e transmitir sua participação remanescente na área por um valor de US$ 500.000,00. O contrato de venda da terra previa uma data de fechamento em 19 de novembro de 2007 e estipulava que ""o tempo era essencial"". Em 2 de julho de 2007, um incêndio destruiu a mansão antebellum. O proprietário do terreno fez um seguro de US$ 450.000,00 para a mansão contra incêndio e recebeu esse valor da companhia de seguros. No fechamento do negócio, em 19 de novembro, o comprador apresentou um cheque administrativo no valor de US$ 50.000,00 e exigiu uma escritura de alienação da propriedade plena e absoluta do imóvel. Por outro lado, o proprietário da terra apresentou uma escritura de alienação e exigiu o preço total de compra de US$ 500.000,00. O comprador recusou a exigência do proprietário. Em uma ação apropriada de execução específica contra o comprador, o proprietário exigiu US$ 500.000,00. Se o proprietário sair vencedor, qual das seguintes opções é a melhor justificativa para o resultado?","O fato de a mansão antebellum ter sido assegurada em US$ 450.000,00 é irrelevante. ",O proprietário da terra e o comprador tinham interesse assegurado na propriedade. ,A teoria da conversão equiparável foi abolida. ,A teoria da conversão equiparável requer um resultado assim. ,D,professional_law,"Law, Governance, and Ethics"
196,"De acordo com Kant, as leis da natureza são leis de acordo com as quais __________, e as leis de liberdade são lei de acordo com as quais __________.",tudo vai acontecer; tudo vai acontecer,tudo vai acontecer; tudo deve acontecer,tudo deve acontecer; tudo vai acontecer,tudo deve acontecer; tudo deve acontecer,B,philosophy,"Law, Governance, and Ethics"
820,"Um toxicodependente de heroína entrou voluntariamente em um centro de tratamento residencial. Um agente secreto do governo apresentou-se e estabeleceu uma amizade com ele. O agente pediu ao toxicodependente que lhe arranjasse heroína, mas este recusou. Durante várias semanas, o agente continuou a pedir e a implorar ao toxicodependente que lhe arranjasse droga; finalmente, o toxicodependente cedeu à pressão e arranjou a droga. A polícia prendeu-o de imediato. Em juízo, o réu invocou a defesa da armadilha do Governo. É provável que o juízo de primeira instância julgue improcedente o processo com base nesse argumento?","Sim, pois se tratou de uma armadilha, na medida em que a intenção de cometer o crime teve origem no governo.","Não, não se trata de armadilha porque o toxicodependente estava predisposto a querer obter drogas devido ao seu status de consumidor de drogas.","Não, não se trata de armadilha porque o toxicodependente foi voluntariamente buscar a droga; podia ter-se recusado.","Sim, tratava-se de uma armadilha porque, a partir do momento em que o agente perguntou uma segunda vez, tinha estabelecido a armadilha segundo a regra da maioria.",A,professional_law,"Law, Governance, and Ethics"
34,"O presidente anunciou que uma força militar de mobilização rápida recém-criada participaria de exercícios de treinamento conjunto com as forças militares de um país estrangeiro. Após o anúncio do presidente, o Congresso promulgou uma lei que proibia inequivocamente “as Forças Armadas dos EUA de realizar exercícios militares com forças militares estrangeiras, a menos que o Congresso tenha recebido uma notificação sobre a intenção de tomar essa medida pelo menos três meses antes de os exercícios militares conjuntos entrarem em vigor”. “Essa lei é provavelmente","constitucional, porque o Presidente, nesse caso, não foi convocado pelo Congresso para o efetivo serviço como chefe de governo.","constitucional, devido ao poder do Congresso nos termos da Lei de Poderes de Guerra.","inconstitucional, devido à autoridade do Presidente para executar as leis dos Estados Unidos.","inconstitucional, devido à autoridade do Presidente como Comandante-em-Chefe das Forças Armadas.",A,professional_law,"Law, Governance, and Ethics"
134,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu tirei a lâmpada da minha vó da tomada para economizar eletricidade. Cenário 2 | Eu afrouxei a pegada a propósito enquanto segurava uma idosa que estava indo para trás.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,moral_scenarios,"Law, Governance, and Ethics"
844,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu falei pro meu filho que ele podia lamber um cacto. Cenário 2 | Eu aspirei o carro dela depois das nossas interações em casa.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",B,moral_scenarios,"Law, Governance, and Ethics"
366,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Quando minha sogra colocou a mão no liquidificador para retirar um cubo de gelo, eu me certifiquei de que estava desligado. Cenário 2 | Pintei meu carro em um tom de roxo bem forte.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",D,moral_scenarios,"Law, Governance, and Ethics"
42,"O máximo em que um indivíduo pode considerar criativamente as consequências, resoluções e questões associadas à tomada de decisão moral é conhecido como ____________.",Imaginação moral,Reflexividade ética,Originalidade moral,Reflexividade moral,A,business_ethics,"Law, Governance, and Ethics"
810,"No dia 3 de julho, um homem sofreu um acidente enquanto conduzia o seu automóvel. O outro condutor enviou-lhe uma notificação de ferimentos e exigiu uma indenização. O homem notificou a sua companhia de seguros, mas foi-lhe dito que a sua apólice tinha caducado a 2 de julho. Anteriormente, tinha recebido um aviso de reforma com uma fatura com data de vencimento a 28 de junho e data de caducidade da apólice a 2 de julho. O aviso aceitava o pagamento por correio e não dizia que a reforma estava condicionada à recepção física do cheque. O segurado colocou o cheque e o formulário no correio dos EUA a 28 de junho, mas a seguradora só o recebeu a 5 de julho. A seguradora restabeleceu a apólice a partir de 5 de julho, deixando uma lacuna na cobertura de 2 a 5 de julho, segundo a empresa. É provável que os tribunais considerem que a apólice ainda estava em vigor a 3 de julho, a data do acidente?","Sim, pois o prêmio de reforma foi colocado na caixa de correio antes da data de expiração e o aviso não dizia que o cheque tinha de ser recebido fisicamente para que pudesse haver uma reforma.","Sim, pois uma apólice não pode ser anulada por falta de pagamento sem que lhe seja enviado um aviso final de 30 dias de anulação iminente.","Não, o homem sabia que a apólice não seria renovada se não entregasse o pagamento à seguradora até à data limite de 28 de junho.","Não, pois a regra da caixa de correio não é aplicável em uma situação em que uma apólice de seguro deve ser renovada.",A,professional_law,"Law, Governance, and Ethics"
143,"Um réu foi detido e indiciado pelo crime de incêndio, que nesta jurisdição é definido como “queimar dolosa ou intencionalmente qualquer estrutura ou moradia”. Quando o réu foi preso, estava dentro de um galpão que foi tomado pelas chamas. No momento em que ele foi preso, a polícia encontrou em sua posse uma caixa de fósforos com quatro fósforos destacados. Em juízo, a promotoria apresentou a caixa de fósforos como prova. Após as alegações finais, e antes que o júri se recolhesse para dar o veredito, o juiz deu instruções sobre a lei aplicável ao caso. O juiz instruiu o júri que poderia inferir o dolo do réu de provocar incêndio com base na ausência dos quatro palitos de fósforos da caixa. Essa instrução foi especificamente impugnada pelo advogado de defesa. A instrução do juiz ao júri sobre o dolo do réu foi","correta, pois trata-se de presunção absoluta de fato.","correta, pois trata-se de inferência permissível.","incorreta, pois a promotoria deve provar cada elemento do crime sem qualquer dúvida razoável.","incorreta, pois a instrução inverte o ônus da persuasão da promotoria para a defesa do réu.",B,professional_law,"Law, Governance, and Ethics"
611,"Um homem recebeu vários amigos em sua casa para jantar. Dois dos convidados discutiram e um deles se levantou da mesa e avançou em direção ao outro convidado com um facão de caça. O anfitrião o interrompeu com um taco de beisebol, acertando-o no peito, o que evitou o contato iminente do atacante com seu alvo. O golpe derrubou o atacante e causou diversas fraturas de costelas. O convidado ferido processou o anfitrião por ataque agravado e agressão. É provável que o tribunal conceda o pedido de anulação da ação por solicitação de reparação judicial insuficiente movida pelo anfitrião?","Sim, pois o anfitrião tinha o privilégio de “defender os outros”.","Não, pois o uso da força por parte do anfitrião foi excessivo dadas as circunstâncias.","Sim, pois o anfitrião tem o privilégio da imunidade do anfitrião.","Não, pois o anfitrião intensificou o conflito ao se envolver.",A,professional_law,"Law, Governance, and Ethics"
