subject,question,A,B,C,D,correct,out_chat_long,out_extracted_chat_long,out_chat_short,out_seqlogprob
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Gostaria de cumprimentar todo mundo, especialmente o homem negro. Cenário 2 | Não pisei fundo nos freios para evitar atropelar o animal que atravessou na frente do meu carro.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,C) Não é errado,C,C,A
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Falei para os meus colegas de aula que eles não deveriam comparecer à festa de aniversário da menina nova. Cenário 2 | Eu coloquei o Nintendo Switch do meu filho na máquina de lavar pratos e liguei.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,"C) Não é errado, Errado",C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Transei em casa. Cenário 2 | Enquanto meus avós dormiam, joguei ovo nas roupas sujas deles.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,"C) Não é errado, Errado",C,C,C
moral_disputes,"Já que nós que vivemos em países ricos causamos danos diretamente, Pogge argumenta que temos",deveres libertários muito rígidos em relação aos pobres globais,deveres positivos muito rígidos em relação aos pobres globais,deveres negativos muito rígidos em relação aos pobres globais,deveres igualitários muito rígidos em relação aos pobres globais.,C,C,C,C,C
professional_law,"Um proprietário tinha um apartamento que alugou para um aluno do último ano da faculdade por um período de três anos a partir de 1.º de dezembro de 2007, por um aluguel mensal de mil dólares a ser pago no primeiro dia de cada mês. Após o aluno do último ano da faculdade residir no apartamento por seis meses, ele cedeu seu interesse nas instalações a um aluno do primeiro ano da faculdade, em 1.º de junho de 2008. O aluno do primeiro ano da faculdade pagou o aluguel do apartamento por dois meses e depois transferiu seu interesse para um aluno do segundo ano da faculdade. O aluno do segundo ano tomou posse em 1.º de agosto de 2008 e pagou o aluguel de agosto, mas não pagou o aluguel dos três meses seguintes de ocupação. Então, em 1.º de dezembro de 2008, o aluno do segundo ano da faculdade cedeu as instalações a um calouro que tomou posse, mas não pagou nenhum aluguel ao proprietário durante o período de sua ocupação, que se estendeu de 1.º de dezembro de 2008 a 1.º de abril de 2009. Em 05 de abril de 2009, o proprietário ajuíza ação contra o calouro da faculdade para recuperar o aluguel devido do imóvel. O calouro provavelmente será responsabilizado por","US$ 8.000,00","US$ 7.000,00","US$ 5.000,00","US$ 4.000,00",C,A,A,A,A
philosophy,"De acordo com Parfit, tanto Taurek quanto Lewis afirmam que para haver uma “soma de dor,” ela deve:",ser sentida toda de uma só vez.,ser sentida toda por uma única pessoa.,ser toda proveniente de uma única fonte.,todas as anteriores.,B,D) todas as anteriores.,D,D,D
professional_law,"Uma esposa é a beneficiária de uma apólice emitida por uma companhia de seguros, com seguro de vida de seu marido, agora morto. A apólice continha uma cláusula dispondo que a indenização dupla seria pagável no caso da morte do segurado ter “resultado diretamente, e independentemente de todas as outras causas, de lesão pessoal causada unicamente por meios externos violentos e inesperados”. O marido foi encontrado morto no galinheiro de sua fazenda. A sua morte foi devido a ferimentos causados por um tiro de cartucheira. A esposa preencheu os papéis necessários perante a companhia de seguros relacionados com a prova da morte de seu marido. A companhia de seguros admitiu a responsabilidade pelo valor de face da apólice, mas rejeitou o pedido da esposa para a indenização dupla. A esposa ajuizou uma ação contra a companhia de seguros exigindo julgamento e acordo com as disposições de indenização dupla da apólice de seguro do marido. Em juízo, a esposa foi chamada para testemunhar sobre os eventos no dia da morte de seu marido. A esposa disse que ela estava na cozinhas quando ouviu um tiro no galinheiro. Quando ela correu para fora da casa, ela viu que o vizinho saiu correndo do galinheiro. O vizinho está presente no tribunal. Como testemunha, a esposa era","capaz para depor, pois ela tinha conhecimento pessoal do assunto.","capaz para depor, porque o vizinho está disponível para depor.","incapaz para depor, porque ela tinha um interesse pessoal no resultado da ação.","incapaz para depor, porque ela estava testemunhando sobre fatos que ocorreram depois da morte de seu marido.",A,A,A,A,A
professional_law,"Um piloto estava pilotando seu pequeno avião quando teve problemas no motor e foi forçado a fazer um pouso de emergência. Ele pousou o avião com segurança em um grande quintal atrás de uma casa localizada em uma área relativamente remota. Infelizmente, ao desembarcar do avião, foi atacado e ferido por dois cães de grande porte que o proprietário tinha para desencorajar invasores. O proprietário da casa, que viu o avião pousar, ordenou que os cães atacassem. Meses antes, o proprietário tinha colocado grandes cartazes em todo o perímetro do quintal alertando sobre os cães. O piloto tem causa de pedir viável contra o proprietário por vias de fato?","Não, pois o proprietário tinha colocado cartazes adequadamente.","Não, pois o piloto era um invasor.","Sim, pois o piloto pode invocar a defesa da necessidade.","Sim, pois não era razoável esperar que o piloto pudesse ver os cartazes afixados pelo proprietário.",C,"C) Sim, pois o piloto pode invocar a defesa da necessidade.

**Explicação:**

A defesa da necessidade é uma exceção à regra geral",C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Meu bebê viajou no banco do carro enquanto eu dirigia pela autoestrada. Cenário 2 | Arranhei a pintura da casa do meu vizinho depois que ele já tinha pintado.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,"C) Não é errado, Errado",C,C,C
professional_law,"Uma empresa fabricante de papel contratou uma construtora construir um novo depósito. O contrato previa o pagamento da construtora após o término da construção do depósito. A construtora finalizou a construção do armazém, mas o armazém apresentava alguns pequenos desvios em relação aos planos devido à substituição de determinados materiais de construção que estavam indisponíveis no mercado. Concluído o trabalho, a construtora exigiu o pagamento. A empresa de papel se recusou a pagar com base nos desvios das especificações. A construtora provavelmente tenha ganho de causa em uma ação de inadimplemento contratual em face da empresa fabricante de papel?","Sim, a construtora poderá cobrar a parte que ela entregou do serviço. ","Não, a construtora não poderá alterar as especificações e espera ser paga. ","Não, a construtora é culpada de fraude e declaração falsa. ","Sim, a construtora cumpriu substancialmente o contrato. ",D,A,A,A,A
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Não tinha banheiro por perto, então, pedi ao segurança que procurasse um. Cenário 2 | Alimento meu gato com uma tigela pequena de comida por mês.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,C) Não é errado,C,C,C
jurisprudence,Qual proposição abaixo é a mais inconsistente com uma justificativa consequencialista da punição?,A punição protege a segurança.,A punição é um método de custo-benefício para prevenir ou reduzir a criminalidade.,A punição protege a segurança pessoal.,A punição deve ser adequada ao crime.,D,C,C,C,C
professional_law,"Um homem comprou uma casa que precisava de reparos substanciais. O homem financiou a compra da casa com um empréstimo bancário. Ele assinou uma nota ao banco e garantiu o pagamento do empréstimo com uma hipoteca. Depois de comprar a casa, o homem obteve um empréstimo de seu sindicato de crédito para fazer os reparos. O homem assinou uma nota ao sindicato de crédito; esta nota também estava garantida por uma hipoteca da casa. Ambas as hipotecas foram registradas prontamente na ordem concedida. O homem era pessoalmente responsável por ambos os empréstimos. O homem mudou para a casa e fez os reparos necessários. Mais tarde, ele deixou de pagar o débito com o banco e o banco iniciou procedimentos judiciais de execução hipotecária, denominando o homem e o sindicato de crédito como partes na ação. Uma parte externa adquiriu a casa na venda por execução hipotecária. Depois que as despesas foram pagas, e o saldo devido ao banco foi pago, o restante de US$ 5.000 da venda ao banco foi pago, e há US$ 5.000 restante da venda. O saldo em aberto do empréstimo do sindicato de crédito é US$ 20.000. O homem e o sindicato de crédito reclamam os US$ 5.000. Não há nenhuma lei aplicável. Quem tem direito aos US$ 5.000?","O sindicato de crédito, porque o sindicato de crédito tem prioridade.","O sindicato de crédito, porque o homem é pessoalmente responsável pelo débito.","O homem, por causa de seu direito equivalente de resgate|.","O home, porque a parte externa recebeu a titularidade da casa sujeito à segunda hipoteca.",A,"A) O sindicato de crédito, porque o sindicato de crédito tem prioridade.",A,A,A
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Joguei um copo de café quente no meu bebê. Cenário 2 | Ofereci minha avó de 99 anos como voluntária para entrar em uma mina abandonada e resgatar as crianças pedidas.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,"C) Não é errado, Errado",C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Como havia leite coalhado e vencido na geladeira, e também bastante leite fresco, servi ao meu amigo visitante um copo do leite mais novo e disse para ele que o leite estava bom. Cenário 2 | Voltei dirigindo para casa depois de beber três garrafas de vinho na vinícola.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,"C) Não é errado, Errado",C,C,C
business_ethics,"____________ são uma ferramenta de gestão da ética comercial que se expandiu nas últimas décadas. As áreas geralmente cobertas são conformidade, corrupção e temas ambientais. No entanto, estão em constante evolução, como o ônus sobre o ________________ tendo se expandido em anos recentes.","Relatórios anuais, Desempenho financeiro da empresa","Relatórios anuais, Internet - mídias sociais e networking","Códigos de ética, Desempenho financeiro da empresa","Códigos de ética, Internet - mídias sociais e networking",D,C,C,C,C
business_ethics,"O nivelamento _____________ ocorre quando, devido à crescente __________, países competem por investimento estrangeiro com as decisões de relocação das empresas ao enfraquecer suas normas _________ e __________.","Por baixo, Globalização, Sociais, Ambientais","Por cima, Globalização, Políticas, Ambientais","Por baixo, Padronização, Sociais, Econômicas","Por cima, Padronização, Políticas, Econômicas",A,"C) Por baixo, Padronização, Sociais, Econômicas",C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Quando cheguei em casa, dei muito chocolate ao cão faminto. Cenário 2 | Empenhei minha aliança de casamento para pagar as medicações para salvar a vida da minha mulher.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",B,"C) Não é errado, Errado",C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Matei uma aranha na minha cama. Cenário 2 | Geralmente, eu alimento o meu peixe cinco vezes por ano.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,"C) Não é errado, Errado",C,C,C
logical_fallacies,"Se você acha que o argumento de alguém é forte, com base no seu uso efetivo da linguagem e na postura confiante, você provavelmente cometeu qual falácia?",Anfibolia,do equívoco,Argumento especial,Estilo sobre substância,D,C) Argumento especial,C,C,C
professional_law,"Um marido e sua esposa estavam saindo de férias por um mês. Eles acharam que seria uma ótima ideia instalar carpetes novos em sua casa enquanto estivessem de férias. Eles contataram uma empresa de carpetes respeitável, que orçou o trabalho em US$ 7.000. O marido e a sua esposa concordaram, entregaram as chaves da casa à empresa de carpetes e saíram de férias. Uma semana depois, a empresa de carpetes descobriu que eles não tinham o pessoal de instalação necessário naquele momento e não conseguiu concluir todos os trabalhos contratados. A empresa de carpetes contatou um trabalhador que já havia trabalhado com eles e falou sobre o trabalho que deveria fazer para marido e a esposa. O trabalhador concordou em fazer a instalação do carpete em troca do pagamento do marido e da esposa. Quando marido e a esposa voltaram das férias, ficaram satisfeitos com o trabalho e enviaram um cheque de US$ 7.000 para a empresa de carpetes, que depositou o cheque. Se o trabalhador procura agora obter uma indemnização pelos serviços que prestou, ele deve",receber somente do marido e da esposa.,receber somente da empresa de carpetes.,receber do marido e da esposa ou da empresa de carpetes.,"não receber, porque não estava em privacidade de contrato.",B,"C) receber do marido e da esposa ou da empresa de carpetes.

**Explicação:**

A situação descrita envolve um contrato de prestação de",C,C,C
moral_disputes,Qual das alternativas a seguir é um exemplo de virtude?,honestidade,coragem,gentileza,todas as anteriores,D,D,D,D,D
professional_law,"Um homem grande com cabelo vermelho roubou uma loja de bebidas. Depois, um réu foi preso e acusado pelo roubo com emprego de arma de fogo. No julgamento do réu, várias testemunhas oculares atestaram que eles tinham visto um homem grande com cabelo vermelho puxar uma arma e roubar a loja de bebidas. O réu apareceu o julgamento com a cabeça raspada. A acusação chama um oficial da cadeia para testemunhar que o homem tinha cabelo vermelho quando ele foi trazido a cadeia. O advogado do réu objeta. O juiz de primeira instância deve decidir que o testemunho do oficial da cadeia ",é admissível como uma identificação prévia.,"é admissível, para a finalidade limitada de esclarecer a discrepância no testemunho da testemunha.",inadmissível como prova por ouvir dizer sem exceção possível.,"é inadmissível, porque é um testemunho de opinião.",B,A,A,A,A
professional_law,"Um investidor processou uma empresa por fraude em sociedade acionista. Ao apresentar suas provas, o investidor clamou pela admissão como prova de uma edição de um jornal para mostrar o preço das ações da empresa em determinado dia. Após impugnação feita pelo defensor da empresa, a prova deverá ser","admitida, como exceção de registros comerciais.","admitida, como exceção de relatórios de mercado.","excluída, pois uma cópia de jornal não se amolda a nenhuma exceção estabelecida à regra da prova por ouvir dizer.","excluída, pois viola a regra da prova direta.",B,C,C,C,C
logical_fallacies,Rejeitar automaticamente uma alegação só porque é tradicional é…,Intolerante,Apelo à tradição,Apelo às massas,Tolerante,A,B) Apelo à tradição,B,B,B
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Estava sem tinta para pintar o rosto do meu filho para o Halloween, então, tive que improvisar com o estojo de maquiagem. Cenário 2 | Gosto do Bill, mas ele não me conhece, então, dei um beijo nele para ver se haveria uma química.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,"C) Não é errado, Errado",C,C,C
moral_disputes,Marquis argumenta que o aborto é moralmente errado por,"mostrar que o feto é uma pessoa com plenos direitos morais, incluindo o direito à vida.",apelando para o fato de que um feto é biologicamente humano e argumentando que é presumivelmente moralmente errado matar seres biologicamente humanos.,mostrando que um feto é senciente e que é moralmente errado ferir e matar criaturas sencientes.,nenhuma das alternativas,D,B,B,B,B
philosophy,"Aristóteles diz que o que torna as coisas o que elas são – sua essência –não existe de forma separada dos indivíduos que existem no mundo. Então, se todos os membros de uma espécie fossem destruídos, sua essência ou forma:",também seriam destruídas.,seriam destruídas apenas se não houvesse ninguém por perto para se lembrar da espécie.,continuariam a existir (como as Formas de Platão) em algum outro reino do ser.,"não seriam destruídas pois não havia nenhuma essência ou forma originalmente para serem destruídas; existem apenas indivíduos, não essências universais ou naturezas das coisas.",A,C,C,C,C
professional_law,"Um cidadão residente em um estado anunciou sua candidatura ao cargo de Deputado Federal nos EUA. A lei desse estado exige que novatos na política, independentemente de filiação partidária, obtenham cinco vezes o número de assinaturas daquelas obtidas por quem já participou de algum pleito. Contudo, o cidadão residente não conseguiu o número necessário de assinaturas autenticadas para que seu nome aparecesse na cédula. Sobre a questão constitucional material relacionada à validade do requisito de autenticação, a solução judicial mais provável será",considerar inconstitucional o requisito de autenticação por violar a cláusula de devido processo legal da Décima Quarta Emenda.,considerar inconstitucional o requisito de autenticação por violar a cláusula de proteção igualitária da Décima Quarta Emenda.,"indeferir a causa de pedir, pois os procedimentos para eleição estadual são uma função soberana do estado.",atribuir ao estado o ônus de provar a validade do requisito de autenticação.,D,A) considerar inconstitucional o requisito de autenticação por violar a cláusula de devido processo legal da Décima Quarta Emenda.,A,A,A
professional_law,"O presidente de uma empresa farmacêutica recebeu um relatório de seu departamento de testes informando que um lote produzido de medicamentos anticâncer prescritos pela empresa estava muito abaixo da concentração. Preocupado em conseguir cumprir os compromissos contratuais, o presidente orientou sua equipe a entregar o lote com defeito. Um paciente com câncer que utilizava o medicamento morreu pouco depois de começar a tomar os comprimidos com defeito. Evidências médicas estabeleceram que o paciente teria vivido por mais tempo se o medicamento estivesse com efeito total, mas teria morrido pouco tempo depois, de qualquer forma. O presidente foi condenado por assassinato. Em recurso, ele argumenta que sua condenação deveria ser revertida. A condenação deve ser revertida?","Não, pois a entrega intencional de medicamentos adulterados ou mal rotulados dá origem à responsabilidade penal objetiva.","Não, pois o júri poderia ter considerado que a conduta do presidente era suficientemente imprudente para constituir homicídio.","Sim, pois a distribuição do lote defeituoso era apenas uma infração regulamentar.","Sim, pois o câncer, e não a conduta do presidente, foi a causa direta da morte do paciente.",B,A),A,A,A
professional_law,"Dois estudantes de direito estavam almoçando em uma tarde quando o primeiro estudante disse ao segundo: “Estou pensando vender o meu carro”. O segundo respondeu: “Talvez eu esteja interessado em comprar seu carro, se o preço for razoável e se eu conseguir convencer meus pais a me fazerem um empréstimo”. Então, o primeiro aluno pegou uma folha de papel e escreveu o seguinte: “Vendo meu carro para você por US$ 1.000. Pelo US$ 1 que você me deu hoje, você tem um mês a partir de hoje para decidir se aceita essa oferta”. O primeiro aluno assinou o papel e entregou-o ao segundo. O segundo aluno entregou uma nota de um dólar ao primeiro aluno e saiu. Uma semana depois, o segundo estudante conseguiu um empréstimo de US$ 1.000 com os pais. Então, telefonou ao primeiro aluno para dizer que aceitava a oferta. Depois que o primeiro aluno atendeu o telefone e antes que o segundo pudesse dizer que aceitava a oferta, o primeiro disse: “Mudei de ideia. Não quero mais vender meu carro”. O segundo aluno continua tendo o direito de aceitar a oferta do primeiro?","Não, pois US$ 1 não é contraprestação suficiente.","Não, pois a declaração do primeiro aluno consiste em notificação inequívoca de que ele já não pretendia celebrar o contrato com o segundo aluno.","Sim, pois a carta do primeiro aluno constitui opção válida.","Sim, com base no princípio de vinculação à proposta caso seu descumprimento prejudique o promissário.",C,"C) Sim, pois a carta do primeiro aluno constitui opção válida.

**Explicação:**

A questão aborda o princípio de vinculação à proposta",C,C,C
